iban,type,Balance,openingsDate,company,accountmanager
NL09BEEH0000100000,BEEH_BYPASS_IN,0,11-09-2009,null,null
NL79BEEH0000100001,BEEH_BYPASS_OUT,0,11-09-2009,null,null
NL52BEEH0000100002,BEEH_INSURANCE,0,11-09-2009,null,null
NL25BEEH0000100003,BEEH_INTER3,0,11-09-2009,null,null
NL95BEEH0000100004,BEEH_INTER4,0,11-09-2009,null,null
NL68BEEH0000100005,BEEH_LOAN,0,11-09-2009,null,null
NL41BEEH0000100006,BEEH_TRADE,0,11-09-2009,null,null
NL14BEEH0000100007,BEEH_MORGAGE,0,11-09-2009,null,null
NL96BEEH0010000000,BUSINESS_CH,0,11-09-2009,24618828,tfdyqvpns
NL69BEEH0010000001,BUSINESS_SV,0,11-09-2009,24618828,tfdyqvpns
NL42BEEH0010000002,BUSINESS_CH,0,11-09-2009,98530844,tfdyqvpns
NL15BEEH0010000003,BUSINESS_CH,0,11-09-2009,77378397,tfdyqvpns
NL85BEEH0010000004,BUSINESS_CH,0,11-09-2009,77378397,tfdyqvpns
NL58BEEH0010000005,BUSINESS_CH,0,11-09-2009,72309085,tfdyqvpns
NL31BEEH0010000006,BUSINESS_CH,0,11-09-2009,72309085,tfdyqvpns
NL04BEEH0010000007,BUSINESS_CH,0,11-09-2009,72309085,tfdyqvpns
NL74BEEH0010000008,BUSINESS_SV,0,11-09-2009,72309085,tfdyqvpns
NL47BEEH0010000009,BUSINESS_CH,0,11-09-2009,90497536,tfdyqvpns
NL20BEEH0010000010,BUSINESS_SV,0,11-09-2009,90497536,tfdyqvpns
NL90BEEH0010000011,BUSINESS_CH,0,11-09-2009,59923830,tfdyqvpns
NL63BEEH0010000012,BUSINESS_CH,0,11-09-2009,59923830,tfdyqvpns
NL36BEEH0010000013,BUSINESS_SV,0,11-09-2009,59923830,tfdyqvpns
NL09BEEH0010000014,BUSINESS_CH,0,11-09-2009,81575711,tfdyqvpns
NL79BEEH0010000015,BUSINESS_CH,0,11-09-2009,81575711,tfdyqvpns
NL52BEEH0010000016,BUSINESS_SV,0,11-09-2009,81575711,tfdyqvpns
NL25BEEH0010000017,BUSINESS_CH,0,11-09-2009,36179932,tfdyqvpns
NL95BEEH0010000018,BUSINESS_SV,0,11-09-2009,36179932,tfdyqvpns
NL68BEEH0010000019,BUSINESS_CH,0,11-09-2009,93798709,tfdyqvpns
NL41BEEH0010000020,BUSINESS_CH,0,11-09-2009,93798709,tfdyqvpns
NL14BEEH0010000021,BUSINESS_CH,0,11-09-2009,93798709,tfdyqvpns
NL84BEEH0010000022,BUSINESS_SV,0,11-09-2009,93798709,tfdyqvpns
NL57BEEH0010000023,BUSINESS_CH,0,11-09-2009,80407478,tfdyqvpns
NL30BEEH0010000024,BUSINESS_CH,0,11-09-2009,80407478,tfdyqvpns
NL03BEEH0010000025,BUSINESS_SV,0,11-09-2009,80407478,tfdyqvpns
NL73BEEH0010000026,BUSINESS_CH,0,11-09-2009,52570195,tfdyqvpns
NL46BEEH0010000027,BUSINESS_CH,0,11-09-2009,20304610,tfdyqvpns
NL19BEEH0010000028,BUSINESS_CH,0,11-09-2009,20304610,tfdyqvpns
NL89BEEH0010000029,BUSINESS_CH,0,11-09-2009,20304610,tfdyqvpns
NL62BEEH0010000030,BUSINESS_SV,0,11-09-2009,20304610,tfdyqvpns
