iban,username,type
NL61BEEH0010002473,ouhmxypyu,OWNER
NL61BEEH0010002473,oejfrvgdd,OWNER
NL34BEEH0010002474,ouhmxypyu,OWNER
NL34BEEH0010002474,oejfrvgdd,OWNER
NL07BEEH0010002475,oejfrvgdd,OWNER
NL07BEEH0010002475,cusjhykbx,OWNER
NL77BEEH0010002476,oejfrvgdd,OWNER
NL77BEEH0010002476,cusjhykbx,OWNER
NL50BEEH0010002477,cusjhykbx,OWNER
NL23BEEH0010002478,cusjhykbx,OWNER
NL93BEEH0010002479,ndnjtjewu,OWNER
NL93BEEH0010002479,byopajbix,OWNER
NL93BEEH0010002479,aeokvnlri,OWNER
NL66BEEH0010002480,ndnjtjewu,OWNER
NL66BEEH0010002480,byopajbix,OWNER
NL66BEEH0010002480,aeokvnlri,OWNER
NL39BEEH0010002481,byopajbix,OWNER
NL39BEEH0010002481,aeokvnlri,OWNER
NL39BEEH0010002481,wdloeaufe,OWNER
NL12BEEH0010002482,byopajbix,OWNER
NL12BEEH0010002482,aeokvnlri,OWNER
NL12BEEH0010002482,wdloeaufe,OWNER
NL82BEEH0010002483,aeokvnlri,OWNER
NL55BEEH0010002484,aeokvnlri,OWNER
NL28BEEH0010002485,wdloeaufe,OWNER
NL98BEEH0010002486,wdloeaufe,OWNER
NL71BEEH0010002487,aeksfeiug,OWNER
NL44BEEH0010002488,aeksfeiug,OWNER
NL17BEEH0010002489,gntkwzfli,OWNER
NL17BEEH0010002489,jniojinge,OWNER
NL17BEEH0010002489,yanqjntqy,OWNER
NL87BEEH0010002490,gntkwzfli,OWNER
NL87BEEH0010002490,jniojinge,OWNER
NL87BEEH0010002490,yanqjntqy,OWNER
NL60BEEH0010002491,jniojinge,OWNER
NL60BEEH0010002491,yanqjntqy,OWNER
NL60BEEH0010002491,qmlbvxohu,OWNER
NL33BEEH0010002492,jniojinge,OWNER
NL33BEEH0010002492,yanqjntqy,OWNER
NL33BEEH0010002492,qmlbvxohu,OWNER
NL06BEEH0010002493,yanqjntqy,OWNER
NL06BEEH0010002493,qmlbvxohu,OWNER
NL76BEEH0010002494,yanqjntqy,OWNER
NL76BEEH0010002494,qmlbvxohu,OWNER
NL49BEEH0010002495,qmlbvxohu,OWNER
NL49BEEH0010002495,zwcimqkic,OWNER
NL49BEEH0010002495,gunjfqnif,OWNER
NL22BEEH0010002496,qmlbvxohu,OWNER
NL22BEEH0010002496,zwcimqkic,OWNER
NL22BEEH0010002496,gunjfqnif,OWNER
NL92BEEH0010002497,zwcimqkic,OWNER
NL92BEEH0010002497,gunjfqnif,OWNER
NL92BEEH0010002497,kjrytkexa,OWNER
NL65BEEH0010002498,zwcimqkic,OWNER
NL65BEEH0010002498,gunjfqnif,OWNER
NL65BEEH0010002498,kjrytkexa,OWNER
NL38BEEH0010002499,gunjfqnif,OWNER
NL38BEEH0010002499,kjrytkexa,OWNER
NL38BEEH0010002499,pwuxdwjxz,OWNER
NL11BEEH0010002500,gunjfqnif,OWNER
NL11BEEH0010002500,kjrytkexa,OWNER
NL11BEEH0010002500,pwuxdwjxz,OWNER
NL81BEEH0010002501,kjrytkexa,OWNER
NL81BEEH0010002501,pwuxdwjxz,OWNER
NL81BEEH0010002501,ctzawflom,OWNER
NL54BEEH0010002502,kjrytkexa,OWNER
NL54BEEH0010002502,pwuxdwjxz,OWNER
NL54BEEH0010002502,ctzawflom,OWNER
NL27BEEH0010002503,pwuxdwjxz,OWNER
NL97BEEH0010002504,pwuxdwjxz,OWNER
NL70BEEH0010002505,ctzawflom,OWNER
NL70BEEH0010002505,dxrpzayon,OWNER
NL43BEEH0010002506,ctzawflom,OWNER
NL43BEEH0010002506,dxrpzayon,OWNER
NL16BEEH0010002507,dxrpzayon,OWNER
NL86BEEH0010002508,dxrpzayon,OWNER
NL59BEEH0010002509,xgonqpblu,OWNER
NL59BEEH0010002509,qbybisnju,OWNER
NL32BEEH0010002510,xgonqpblu,OWNER
NL32BEEH0010002510,qbybisnju,OWNER
NL05BEEH0010002511,qbybisnju,OWNER
NL05BEEH0010002511,vfkvttzgd,OWNER
NL05BEEH0010002511,pqxbpkrik,OWNER
NL75BEEH0010002512,qbybisnju,OWNER
NL75BEEH0010002512,vfkvttzgd,OWNER
NL75BEEH0010002512,pqxbpkrik,OWNER
NL48BEEH0010002513,vfkvttzgd,OWNER
NL48BEEH0010002513,pqxbpkrik,OWNER
NL21BEEH0010002514,vfkvttzgd,OWNER
