iban,type,Balance,openingsDate,company,accountmanager
NL09BEEH0000100000,BEEH_BYPASS_IN,0,11-09-2009,null,null
NL79BEEH0000100001,BEEH_BYPASS_OUT,0,11-09-2009,null,null
NL52BEEH0000100002,BEEH_INSURANCE,0,11-09-2009,null,null
NL25BEEH0000100003,BEEH_INTER3,0,11-09-2009,null,null
NL95BEEH0000100004,BEEH_INTER4,0,11-09-2009,null,null
NL68BEEH0000100005,BEEH_LOAN,0,11-09-2009,null,null
NL41BEEH0000100006,BEEH_TRADE,0,11-09-2009,null,null
NL14BEEH0000100007,BEEH_MORGAGE,0,11-09-2009,null,null
NL96BEEH0010000000,BUSINESS_CH,0,11-09-2009,89851501,fajxpatve
NL69BEEH0010000001,BUSINESS_CH,0,11-09-2009,89851501,fajxpatve
NL42BEEH0010000002,BUSINESS_CH,0,11-09-2009,89851501,fajxpatve
NL15BEEH0010000003,BUSINESS_SV,0,11-09-2009,89851501,fajxpatve
NL85BEEH0010000004,BUSINESS_CH,0,11-09-2009,47318506,fajxpatve
NL58BEEH0010000005,BUSINESS_CH,0,11-09-2009,74131153,fajxpatve
NL31BEEH0010000006,BUSINESS_CH,0,11-09-2009,74131153,fajxpatve
NL04BEEH0010000007,BUSINESS_CH,0,11-09-2009,74131153,fajxpatve
NL74BEEH0010000008,BUSINESS_SV,0,11-09-2009,74131153,fajxpatve
NL47BEEH0010000009,BUSINESS_CH,0,11-09-2009,55080276,fajxpatve
NL20BEEH0010000010,BUSINESS_SV,0,11-09-2009,55080276,fajxpatve
NL90BEEH0010000011,BUSINESS_CH,0,11-09-2009,33441482,fajxpatve
NL63BEEH0010000012,BUSINESS_CH,0,11-09-2009,33441482,fajxpatve
NL36BEEH0010000013,BUSINESS_CH,0,11-09-2009,33441482,fajxpatve
NL09BEEH0010000014,BUSINESS_SV,0,11-09-2009,33441482,fajxpatve
NL79BEEH0010000015,BUSINESS_CH,0,11-09-2009,25017392,fajxpatve
NL52BEEH0010000016,BUSINESS_CH,0,11-09-2009,25017392,fajxpatve
NL25BEEH0010000017,BUSINESS_SV,0,11-09-2009,25017392,fajxpatve
NL95BEEH0010000018,BUSINESS_CH,0,11-09-2009,37172641,fajxpatve
NL68BEEH0010000019,BUSINESS_SV,0,11-09-2009,37172641,fajxpatve
NL41BEEH0010000020,BUSINESS_CH,0,11-09-2009,37253817,fajxpatve
NL14BEEH0010000021,BUSINESS_CH,0,11-09-2009,37253817,fajxpatve
NL84BEEH0010000022,BUSINESS_SV,0,11-09-2009,37253817,fajxpatve
NL57BEEH0010000023,BUSINESS_CH,0,11-09-2009,58827674,fajxpatve
NL30BEEH0010000024,BUSINESS_CH,0,11-09-2009,93578197,fajxpatve
NL03BEEH0010000025,BUSINESS_CH,0,11-09-2009,93578197,fajxpatve
NL73BEEH0010000026,BUSINESS_SV,0,11-09-2009,93578197,fajxpatve
NL46BEEH0010000027,BUSINESS_CH,0,11-09-2009,76744724,fajxpatve
NL19BEEH0010000028,BUSINESS_CH,0,11-09-2009,90323157,fajxpatve
NL89BEEH0010000029,BUSINESS_CH,0,11-09-2009,90323157,fajxpatve
NL62BEEH0010000030,BUSINESS_CH,0,11-09-2009,90323157,fajxpatve
NL35BEEH0010000031,BUSINESS_SV,0,11-09-2009,90323157,fajxpatve
