iban,username,type
NL04BEEH0010000104,vodgmbgdu,OWNER
NL04BEEH0010000104,utmhdfeep,OWNER
NL04BEEH0010000104,zisboajre,OWNER
NL74BEEH0010000105,vodgmbgdu,OWNER
NL74BEEH0010000105,utmhdfeep,OWNER
NL74BEEH0010000105,zisboajre,OWNER
NL47BEEH0010000106,utmhdfeep,OWNER
NL47BEEH0010000106,zisboajre,OWNER
NL20BEEH0010000107,utmhdfeep,OWNER
NL20BEEH0010000107,zisboajre,OWNER
NL90BEEH0010000108,zisboajre,OWNER
NL90BEEH0010000108,ifjhxkmqt,OWNER
NL90BEEH0010000108,jdenqxdlb,OWNER
NL63BEEH0010000109,zisboajre,OWNER
NL63BEEH0010000109,ifjhxkmqt,OWNER
NL63BEEH0010000109,jdenqxdlb,OWNER
NL36BEEH0010000110,ifjhxkmqt,OWNER
NL36BEEH0010000110,jdenqxdlb,OWNER
NL09BEEH0010000111,ifjhxkmqt,OWNER
NL09BEEH0010000111,jdenqxdlb,OWNER
NL79BEEH0010000112,jdenqxdlb,OWNER
NL79BEEH0010000112,sfdzevwkp,OWNER
NL79BEEH0010000112,djhwldxxp,OWNER
NL52BEEH0010000113,jdenqxdlb,OWNER
NL52BEEH0010000113,sfdzevwkp,OWNER
NL52BEEH0010000113,djhwldxxp,OWNER
NL25BEEH0010000114,sfdzevwkp,OWNER
NL25BEEH0010000114,djhwldxxp,OWNER
NL25BEEH0010000114,jtlihvozf,OWNER
NL95BEEH0010000115,sfdzevwkp,OWNER
NL95BEEH0010000115,djhwldxxp,OWNER
NL95BEEH0010000115,jtlihvozf,OWNER
NL68BEEH0010000116,djhwldxxp,OWNER
NL68BEEH0010000116,jtlihvozf,OWNER
NL68BEEH0010000116,pkylsapjr,OWNER
NL41BEEH0010000117,djhwldxxp,OWNER
NL41BEEH0010000117,jtlihvozf,OWNER
NL41BEEH0010000117,pkylsapjr,OWNER
NL14BEEH0010000118,jtlihvozf,OWNER
NL84BEEH0010000119,jtlihvozf,OWNER
NL57BEEH0010000120,pkylsapjr,OWNER
NL57BEEH0010000120,pkfordhkh,OWNER
NL57BEEH0010000120,khmqaqmur,OWNER
NL30BEEH0010000121,pkylsapjr,OWNER
NL30BEEH0010000121,pkfordhkh,OWNER
