inAccount,outAccount,amount,description,date,type
NL96BEEH0010000000,NL55GELD3859628216,826.97,jajajaj,15-29-13-07-2019,Online bankieren
NL96BEEH0010000000,NL77GELD0692885116,976.69,jajajaj,16-53-06-08-2018,Online bankieren
NL96BEEH0010000000,NL92GELD8037356925,398.98,jajajaj,09-59-16-05-2018,Online bankieren
NL96BEEH0010000000,NL04GELD4811557161,391.06,jajajaj,16-07-22-07-2018,Online bankieren
NL96BEEH0010000000,NL35GELD0485561952,825.95,jajajaj,15-03-24-07-2019,Online bankieren
NL96BEEH0010000000,NL76GELD7252785614,937.73,jajajaj,10-45-26-06-2018,Online bankieren
NL96BEEH0010000000,NL35GELD9966193251,879.17,jajajaj,21-22-27-11-2018,Online bankieren
NL96BEEH0010000000,NL45GELD2953919317,724.09,jajajaj,06-55-18-06-2018,Online bankieren
NL96BEEH0010000000,NL76GELD7252785614,267.49,jajajaj,06-44-15-07-2019,Online bankieren
NL96BEEH0010000000,NL92GELD8037356925,63.47,jajajaj,09-23-01-08-2019,Online bankieren
NL96BEEH0010000000,NL95GELD6279133125,224.84,jajajaj,02-00-07-07-2018,Online bankieren
NL96BEEH0010000000,NL76GELD7252785614,356.28,jajajaj,16-57-09-06-2019,Online bankieren
NL96BEEH0010000000,NL75GELD3175762142,435.72,jajajaj,03-06-08-06-2019,Online bankieren
NL96BEEH0010000000,NL95GELD6279133125,443.49,jajajaj,23-05-04-04-2019,Online bankieren
NL96BEEH0010000000,NL61GELD7455324794,403.33,jajajaj,02-48-11-05-2018,Online bankieren
NL96BEEH0010000000,NL77GELD1142882375,81.67,jajajaj,09-47-27-08-2018,Online bankieren
NL69BEEH0010000001,NL05GELD9994551159,674.57,jajajaj,10-36-19-07-2019,Online bankieren
NL69BEEH0010000001,NL62GELD6375239767,925.82,jajajaj,06-05-13-09-2019,Online bankieren
NL69BEEH0010000001,NL77GELD1142882375,165.68,jajajaj,06-07-03-03-2018,Online bankieren
NL69BEEH0010000001,NL77GELD0692885116,48.91,jajajaj,06-41-12-08-2018,Online bankieren
NL69BEEH0010000001,NL92GELD8037356925,34.06,jajajaj,02-06-13-09-2019,Online bankieren
NL69BEEH0010000001,NL69GELD8971642424,425.64,jajajaj,12-15-23-08-2018,Online bankieren
NL69BEEH0010000001,NL95GELD6279133125,943.55,jajajaj,02-28-16-12-2018,Online bankieren
NL69BEEH0010000001,NL62GELD6375239767,941.16,jajajaj,21-44-21-08-2018,Online bankieren
NL69BEEH0010000001,NL56GELD4676822837,882.65,jajajaj,20-56-21-04-2018,Online bankieren
NL69BEEH0010000001,NL62GELD6375239767,374.62,jajajaj,10-30-21-05-2018,Online bankieren
NL42BEEH0010000002,NL56GELD4676822837,147.12,jajajaj,01-15-06-08-2018,Online bankieren
NL42BEEH0010000002,NL67GELD2809687681,855.53,jajajaj,02-55-01-08-2018,Online bankieren
NL42BEEH0010000002,NL04GELD4811557161,758.51,jajajaj,02-33-26-06-2019,Online bankieren
NL42BEEH0010000002,NL77GELD1142882375,721.59,jajajaj,11-47-05-01-2019,Online bankieren
NL42BEEH0010000002,NL77GELD8158598659,672.34,jajajaj,10-31-07-05-2018,Online bankieren
NL42BEEH0010000002,NL76GELD1811996735,631.02,jajajaj,14-54-18-08-2018,Online bankieren
NL42BEEH0010000002,NL61GELD7455324794,613.82,jajajaj,10-10-27-09-2018,Online bankieren
NL42BEEH0010000002,NL76GELD1811996735,775.84,jajajaj,05-42-25-07-2019,Online bankieren
NL42BEEH0010000002,NL55GELD3859628216,388.75,jajajaj,23-25-26-03-2018,Online bankieren
NL42BEEH0010000002,NL61GELD7455324794,134.7,jajajaj,09-06-14-07-2019,Online bankieren
NL42BEEH0010000002,NL76GELD7252785614,733.63,jajajaj,05-08-02-07-2019,Online bankieren
NL42BEEH0010000002,NL76GELD7252785614,683.2,jajajaj,07-17-19-09-2018,Online bankieren
NL42BEEH0010000002,NL04GELD4811557161,813.48,jajajaj,11-08-21-01-2019,Online bankieren
NL42BEEH0010000002,NL45GELD2953919317,578.22,jajajaj,20-36-07-08-2019,Online bankieren
NL42BEEH0010000002,NL75GELD3175762142,386.9,jajajaj,10-58-14-01-2018,Online bankieren
NL42BEEH0010000002,NL04GELD4811557161,263.66,jajajaj,13-47-08-03-2018,Online bankieren
NL42BEEH0010000002,NL77GELD0692885116,732.9,jajajaj,21-46-13-09-2019,Online bankieren
NL42BEEH0010000002,NL56GELD4676822837,216.39,jajajaj,01-37-14-05-2019,Online bankieren
NL15BEEH0010000003,NL75GELD3175762142,443.55,jajajaj,13-23-27-01-2019,Online bankieren
NL15BEEH0010000003,NL61GELD7455324794,487.47,jajajaj,12-32-13-09-2019,Online bankieren
NL15BEEH0010000003,NL77GELD0692885116,662.25,jajajaj,06-28-13-09-2019,Online bankieren
NL15BEEH0010000003,NL62GELD6375239767,307.99,jajajaj,22-38-14-01-2019,Online bankieren
NL15BEEH0010000003,NL04GELD4811557161,866.04,jajajaj,04-44-01-06-2019,Online bankieren
NL15BEEH0010000003,NL92GELD8037356925,887.85,jajajaj,21-05-19-05-2018,Online bankieren
NL15BEEH0010000003,NL76GELD1811996735,477.75,jajajaj,20-45-25-02-2019,Online bankieren
NL15BEEH0010000003,NL69GELD8971642424,507.77,jajajaj,07-34-14-06-2019,Online bankieren
